// List of Teams and their ID's:
//592 => ID of Tohoku Golden Eagles
//589 => ID of Chiba Marines
//584 => ID of Tokyo Swallows
//585 => ID of Saitama Lions
//587 => ID of Tokyo Giants
//593 => ID of Yokohama DeNA Bay Stars
//590 => ID of Osaka Tigers
//591 => ID of Osaka Buffaloes
//588 => ID of Hiroshima Toyo Carp
//583 => ID of Hokkaido Fighters
//594 => ID of Aichi Dragons
//586 => ID of Fukuoka Hawks
//
//
//id, del, team_id, Team Name, League Name, LastName, FirstName, NickName, UniformNumber, DayOB, MonthOB, YearOB, NationalityID, Nation, CityID, City, facial_type, Height (cm), Weight (kg), Bats, Throws, Position, ML Service, 40 man roster service, pro years, options used, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL, Contract Vr, Gap Vr, Power vR, Eye vR, Ks vR, BABIP vR, Contact Pot, Gap Pot, Power Pot, Eye Pot, Ks Pot, BABIP Pot, HBP, GB Batter type, FB Batter type, speed, steal rate, steal, running, sac bunt, bunt hit,Move vL, Control vL, Movement vR, Control vR, Move Pot, Control Pot, HBP, WP, Balk, Stamina, Hold, GB%, Velocity, ArmSlot, Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, PExp, CExp, 1bExp, 2bExp, 3bExp, ssExp, LFExp, CFExp, RFExp, use expected, expected level, expected ab, expected avg, expected 2b, expected 3b, expected hr, expected bb, expected k, expected hbp, contract y1, contract y2, contract y3, contract y4, contract y5, contract y6, contract y7, contract y8, contract y9, contract y10, contract current year (0 = first year), extension y1, extension y2, extension y3, extension y4, extension y5, extension y6, extension y7, extension y8, extension y9, extension y10, greed, loyalty, play_for_winner, work_ethic, intelligence, leader ability, Stuff Overall, Stuff R/L split, Stuff Pot., Fastball (scale: 0-5), Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Fastball Pot.(scale: 0-5), Slider Pot., Curveball Pot., Changeup Pot., Cutter Pot., Sinker Pot., Splitter Pot., Forkball Pot., Screwball Pot., Circlechange Pot., Knucklecurve Pot., Knuckleball Pot., Hitter 3B/2B ratio, pbabip, lahman_id, bbref_id, bbrefminors_id, twitter_handle, Catcher Framing, Velo Pot
156079,0,605,Tohoku Golden Eagles,Ni-Gun League,Nakagomi,Haruto,,5,23,1,2002,98,Japan,0,,2,175,187,1,1,11,0,0,0,0,20,25,1,1,1,1,20,27,1,1,1,1,52,27,100,225,62,25,8,0,0,1,1,1,1,108,8,181,149,184,151,393,381,8,3,1,31,72,27,6,3,35,66,105,6,4,8,128,109,114,200,0,0,0,0,0,0,0,0,0,6,550,.340,0,0,66,114,80,8,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,121,44,169,40,127,213,.9555,250,270,0,0,270,0,270,270,0,0,0,0,0,253,0,0,253,0,253,253,0,0,0,0,0,0,402,nakago000har,,nakago000har,,2,8
156088,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Hinata,Naoki,,49,6,7,2005,98,Japan,0,,2,190,231,1,1,11,0,0,0,0,20,54,1,1,1,1,20,58,1,1,1,1,119,57,193,210,110,128,5,0,1,1,1,1,1,125,20,166,145,168,146,382,396,5,5,1,28,76,25,6,3,32,2,113,6,22,30,70,83,92,200,0,0,0,0,0,0,0,0,0,8,550,.351,0,0,80,113,95,5,61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,170,82,127,189,177,181,.9878,396,0,0,381,200,381,0,381,0,0,0,0,0,0,0,382,200,382,0,382,0,0,0,0,0,0,401,hinata000nao,,hinata000nao,,22,13
156128,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Taira,Ryuya,,29,9,7,1998,98,Japan,0,,2,170,172,1,1,13,0,0,0,0,230,63,166,197,182,225,230,61,166,194,185,223,128,57,174,203,117,141,5,0,1,74,116,109,59,173,23,1,1,1,1,398,397,5,2,2,1,1,47,1,4,39,70,98,31,4,2,83,96,97,200,0,0,0,0,0,0,0,0,0,8,550,.365,0,0,68,195,39,5,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,75,130,127,98,126,164,1.0000,396,287,0,0,0,287,287,0,0,0,0,0,0,299,0,0,0,299,299,0,0,0,0,0,0,0,402,taira-000ryu,,taira-000ryu,,1,14
156146,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Ehara,Masahiro,,23,3,8,2000,98,Japan,0,,2,186,205,1,1,3,0,0,0,0,20,506,1,1,1,1,20,508,1,1,1,1,334,507,492,430,203,417,15,2,0,1,1,1,1,64,14,232,116,235,116,242,35,15,15,30,38,86,32,8,3,96,122,155,6,10,7,70,111,50,0,0,196,0,0,0,200,0,0,0,8,550,.055,9,0,0,5,350,15,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,94,110,162,13,72,269,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,ehara-000mas,,ehara-000mas,,4,6
66849,0,605,Tohoku Golden Eagles,Ni-Gun League,Ohsakae,Toshiya,,20,23,4,2007,98,Japan,0,,2,178,187,2,1,12,0,0,0,0,140,50,82,135,142,142,140,60,82,135,142,142,179,57,57,210,119,239,5,1,0,82,76,80,86,149,13,1,1,1,1,299,351,5,3,1,1,1,47,1,2,34,31,100,13,25,19,95,83,92,200,0,0,0,0,0,0,0,0,0,6,550,.360,0,0,68,195,51,5,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,121,117,153,83,54,199,1.0000,329,214,0,0,265,214,265,265,0,0,0,0,0,224,0,0,279,224,279,279,0,0,0,0,0,0,397,ohsaka000tos,,ohsaka000tos,,15,11
46383,0,605,Tohoku Golden Eagles,Ni-Gun League,Sakai,Tomohito,,28,2,1,1993,98,Japan,32001,Hirakata,2,178,176,1,1,12,593,593,4,0,110,164,27,144,97,122,110,164,27,144,97,122,110,164,27,144,97,122,5,0,0,39,36,36,44,88,42,293,192,296,194,339,327,5,1,1,43,105,36,10,3,47,50,97,30,4,3,27,33,60,200,0,0,0,0,0,0,0,0,0,6,550,.273,0,0,20,62,108,5,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,89,65,67,99,83,349,1.0400,393,359,359,308,0,0,0,0,407,0,0,0,0,359,359,308,0,0,0,0,407,0,0,0,0,0,378,sakai-000tom,,sakai-000tom,,4,9
46431,0,605,Tohoku Golden Eagles,Ni-Gun League,Nishiguchi,Naoto,,62,14,11,1996,98,Japan,88613,Yao,2,183,183,1,1,12,1,1,4,0,156,171,17,174,110,188,156,171,17,174,110,188,156,171,17,174,110,188,6,0,0,26,6,21,52,102,10,270,216,273,218,266,284,6,12,2,37,106,33,10,4,60,58,104,39,3,4,29,30,56,200,0,0,0,0,0,0,0,0,0,6,550,.285,0,0,27,75,101,6,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,102,45,76,128,64,443,1.0020,367,412,0,365,312,312,0,0,0,0,0,0,0,412,0,365,312,312,0,0,0,0,0,0,0,0,374,nishig000nao,,nishig000nao,,3,8
46433,0,605,Tohoku Golden Eagles,Ni-Gun League,Tanaka,Kazuki,,25,8,8,1994,98,Japan,24592,Fukuoka,2,181,165,3,1,7,617,617,4,0,168,191,159,153,128,179,168,191,158,154,129,178,264,191,303,307,267,268,12,0,0,71,96,91,63,113,83,2,10,2,10,2,10,12,9,6,11,0,37,1,4,100,69,136,70,0,0,145,110,141,0,0,0,0,0,0,85,200,125,0,6,550,.195,8,1,8,31,161,12,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,92,95,67,87,62,1,1.0000,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,314,tanaka004kaz,,tanaka004kaz,,0,1
46444,0,605,Tohoku Golden Eagles,Ni-Gun League,Ishihara,Tsuyoshi,,70,8,3,1999,98,Japan,40713,Kyoto,2,172,212,1,1,2,110,110,4,0,172,227,296,286,110,185,171,212,295,285,110,183,183,216,301,199,183,194,10,0,0,73,109,139,62,41,5,33,25,33,25,33,25,10,8,10,16,0,37,1,3,45,69,110,30,100,123,12,59,56,0,200,175,0,0,0,0,0,0,0,6,550,.168,9,0,8,16,189,10,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,111,92,63,77,79,1,1.0000,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,313,ishiha000tsu,,ishiha000tsu,,100,1
53067,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Ohta,Hikaru,,2,14,10,1996,98,Japan,40517,Kurashiki,2,178,168,1,1,2,357,357,2,0,212,313,242,290,155,232,212,296,241,288,155,229,241,302,89,333,269,223,4,0,0,89,122,163,70,143,83,2,2,2,2,2,2,4,4,2,0,0,29,0,3,56,44,134,26,108,134,56,44,134,0,200,0,0,0,0,0,0,0,0,8,550,.177,14,1,1,36,160,4,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,110,77,70,117,91,1,1.0000,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,315,ota---000hik,,ota---000hik,,108,0
