// List of Teams and their ID's:
//592 => ID of Tohoku Golden Eagles
//589 => ID of Chiba Marines
//584 => ID of Tokyo Swallows
//585 => ID of Saitama Lions
//587 => ID of Tokyo Giants
//593 => ID of Yokohama DeNA Bay Stars
//590 => ID of Osaka Tigers
//591 => ID of Osaka Buffaloes
//588 => ID of Hiroshima Toyo Carp
//583 => ID of Hokkaido Fighters
//594 => ID of Aichi Dragons
//586 => ID of Fukuoka Hawks
//
//
//id, del, team_id, Team Name, League Name, LastName, FirstName, NickName, UniformNumber, DayOB, MonthOB, YearOB, NationalityID, Nation, CityID, City, facial_type, Height (cm), Weight (kg), Bats, Throws, Position, ML Service, 40 man roster service, pro years, options used, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL, Contract Vr, Gap Vr, Power vR, Eye vR, Ks vR, BABIP vR, Contact Pot, Gap Pot, Power Pot, Eye Pot, Ks Pot, BABIP Pot, HBP, GB Batter type, FB Batter type, speed, steal rate, steal, running, sac bunt, bunt hit,Move vL, Control vL, Movement vR, Control vR, Move Pot, Control Pot, HBP, WP, Balk, Stamina, Hold, GB%, Velocity, ArmSlot, Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, PExp, CExp, 1bExp, 2bExp, 3bExp, ssExp, LFExp, CFExp, RFExp, use expected, expected level, expected ab, expected avg, expected 2b, expected 3b, expected hr, expected bb, expected k, expected hbp, contract y1, contract y2, contract y3, contract y4, contract y5, contract y6, contract y7, contract y8, contract y9, contract y10, contract current year (0 = first year), extension y1, extension y2, extension y3, extension y4, extension y5, extension y6, extension y7, extension y8, extension y9, extension y10, greed, loyalty, play_for_winner, work_ethic, intelligence, leader ability, Stuff Overall, Stuff R/L split, Stuff Pot., Fastball (scale: 0-5), Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Fastball Pot.(scale: 0-5), Slider Pot., Curveball Pot., Changeup Pot., Cutter Pot., Sinker Pot., Splitter Pot., Forkball Pot., Screwball Pot., Circlechange Pot., Knucklecurve Pot., Knuckleball Pot., Hitter 3B/2B ratio, pbabip, lahman_id, bbref_id, bbrefminors_id, twitter_handle, Catcher Framing, Velo Pot
156079,0,605,Tohoku Golden Eagles,Ni-Gun League,Nakagomi,Haruto,,5,23,1,2002,98,Japan,0,,2,175,187,1,1,11,18,0,0,0,20,25,1,1,1,1,20,27,1,1,1,1,52,27,100,225,62,25,8,0,0,1,1,1,1,108,8,181,149,184,151,393,381,8,3,1,31,72,27,6,3,35,66,105,6,4,8,128,109,114,200,0,0,0,0,0,0,0,0,0,6,550,.340,0,0,66,114,80,8,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,121,44,169,40,127,213,.9555,250,270,0,0,270,0,270,270,0,0,0,0,0,253,0,0,253,0,253,253,0,0,0,0,0,0,402,nakago000har,,nakago000har,,2,8
156088,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Hinata,Naoki,,49,6,1,2005,98,Japan,0,,22,190,231,1,1,11,5,0,0,0,20,128,1,1,1,1,20,25,1,1,1,1,119,25,193,210,110,128,13,0,0,1,1,1,1,125,13,166,145,168,146,382,396,13,3,1,28,76,25,8,3,32,80,113,8,22,13,70,83,113,200,0,0,0,0,0,0,0,0,0,8,550,.351,0,0,80,113,95,13,61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,170,82,127,189,177,181,.9878,396,381,0,0,381,0,381,381,0,0,0,0,0,382,0,0,382,0,382,382,0,0,0,0,0,0,401,hinata000nao,,hinata000nao,,22,13
156128,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Taira,Ryuya,,29,9,2,1998,98,Japan,0,,1,170,172,2,2,13,19,0,0,0,230,141,2,2,2,2,230,47,2,2,2,2,128,47,174,203,117,141,14,0,0,2,2,2,2,173,14,1,1,1,1,398,397,14,4,2,1,1,47,8,4,39,68,98,8,4,14,83,96,195,200,0,0,0,0,0,0,0,0,0,8,550,.365,0,0,68,195,39,14,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,75,130,127,98,126,164,1.0000,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,taira-000ryu,,taira-000ryu,,1,14
156146,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Ehara,Masahiro,,23,3,30,2000,98,Japan,0,,4,186,205,30,30,3,76,0,0,0,20,417,30,30,30,30,20,32,30,30,30,30,334,32,492,430,203,417,6,0,0,30,30,30,30,64,6,232,116,235,116,242,35,6,3,30,38,86,32,8,3,96,0,155,8,10,6,70,111,5,0,0,0,0,0,0,0,0,0,0,8,550,.055,0,0,0,5,350,6,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,94,110,162,13,72,269,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,ehara-000mas,,ehara-000mas,,4,6
66849,0,605,Tohoku Golden Eagles,Ni-Gun League,Ohsakae,Toshiya,,20,23,1,2007,98,Japan,0,,15,178,187,1,1,12,0,0,0,0,140,239,1,1,1,1,140,47,1,1,1,1,179,47,57,210,119,239,11,0,0,1,1,1,1,149,11,1,1,1,1,299,351,11,2,1,1,1,47,6,2,34,68,100,6,25,11,95,83,195,200,0,0,0,0,0,0,0,0,0,6,550,.360,0,0,68,195,51,11,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,121,117,153,83,54,199,1.0000,329,265,0,0,265,0,265,265,0,0,0,0,0,279,0,0,279,0,279,279,0,0,0,0,0,0,397,ohsaka000tos,,ohsaka000tos,,15,11
46383,0,605,Tohoku Golden Eagles,Ni-Gun League,Sakai,Tomohito,,28,2,1,1993,98,Japan,0,,4,178,176,1,1,12,897,0,0,0,110,122,1,1,1,1,110,36,1,1,1,1,110,36,27,144,97,122,9,0,0,1,1,1,1,88,9,293,192,296,194,339,327,9,3,1,43,105,36,6,3,47,20,97,6,4,9,27,33,62,200,0,0,0,0,0,0,0,0,0,6,550,.273,0,0,20,62,108,9,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,89,65,67,99,83,349,1.0400,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,sakai-000tom,,sakai-000tom,,4,9
46431,0,605,Tohoku Golden Eagles,Ni-Gun League,Nishiguchi,Naoto,,62,14,2,1996,98,Japan,0,,3,183,183,2,2,12,444,0,0,0,156,188,2,2,2,2,156,33,2,2,2,2,156,33,17,174,110,188,8,0,0,2,2,2,2,102,8,270,216,273,218,266,284,8,4,2,37,106,33,6,4,60,27,104,6,3,8,29,30,75,200,0,0,0,0,0,0,0,0,0,6,550,.285,0,0,27,75,101,8,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,102,45,76,128,64,443,1.0020,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,nishig000nao,,nishig000nao,,3,8
46433,0,605,Tohoku Golden Eagles,Ni-Gun League,Tanaka,Kazuki,,25,8,6,1994,98,Japan,0,,0,181,165,6,6,7,658,0,0,0,168,268,6,6,6,6,168,37,6,6,6,6,264,37,303,307,267,268,1,0,0,6,6,6,6,113,1,2,10,2,10,2,10,1,4,6,11,0,37,6,4,100,8,136,6,0,1,145,110,31,0,0,0,0,0,0,0,0,0,0,6,550,.195,0,0,8,31,161,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,92,95,67,87,62,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,tanaka004kaz,,tanaka004kaz,,0,1
46444,0,605,Tohoku Golden Eagles,Ni-Gun League,Ishihara,Tsuyoshi,,70,8,10,1999,98,Japan,0,,100,172,212,10,10,2,135,0,0,0,171,194,10,10,10,10,171,37,10,10,10,10,183,37,301,199,183,194,1,0,0,10,10,10,10,41,1,33,25,33,25,33,25,1,3,10,16,0,37,6,3,45,8,110,6,100,1,12,59,16,0,0,0,0,0,0,0,0,0,0,6,550,.168,0,0,8,16,189,1,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,111,92,63,77,79,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,ishiha000tsu,,ishiha000tsu,,100,1
53067,0,592,Tohoku Golden Eagles,Japanese Professional Baseball,Ohta,Hikaru,,2,14,2,1996,98,Japan,0,,108,178,168,2,2,2,652,0,0,0,212,223,2,2,2,2,212,29,2,2,2,2,241,29,89,333,269,223,0,0,0,2,2,2,2,143,0,2,2,2,2,2,2,0,3,2,0,0,29,8,3,56,1,134,8,108,0,56,44,36,0,0,0,0,0,0,0,0,0,0,8,550,.177,0,0,1,36,160,0,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,110,77,70,117,91,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,ota---000hik,,ota---000hik,,108,0
